翁家特制,#genre#
CCTV10,http://223.75.123.222:9901/tsfile/live/1009_1.m3u8
CCTV11,http://223.75.123.222:9901/tsfile/live/1010_1.m3u8
CCTV12,http://223.75.123.222:9901/tsfile/live/1011_1.m3u8
CCTV13,http://223.75.123.222:9901/tsfile/live/1012_1.m3u8
CCTV14,http://223.75.123.222:9901/tsfile/live/1013_1.m3u8
CCTV15,http://223.75.123.222:9901/tsfile/live/1014_1.m3u8
CCTV16,http://223.75.123.222:9901/tsfile/live/1016_1.m3u8
CCTV17,http://223.75.123.222:9901/tsfile/live/1015_1.m3u8
风云足球,http://223.75.123.222:9901/tsfile/live/1036_1.m3u8
CHC家庭影院,http://223.75.123.222:9901/tsfile/live/1037_1.m3u8
CHC动作电影,http://223.75.123.222:9901/tsfile/live/1038_1.m3u8
CHC电影,http://223.75.123.222:9901/tsfile/live/1039_1.m3u8
CCTV1,http://49.65.90.128:8800/rtp/239.49.8.129:6000
CCTV1,http://49.65.90.128:8800/rtp/239.49.8.129:6000
CCTV2,http://49.65.90.128:8800/rtp/239.49.8.130:6000
CCTV3,http://49.65.90.128:8800/rtp/239.49.9.31:6000
CCTV4,http://49.65.90.128:8800/rtp/239.49.8.131:6000
CCTV5,http://49.65.90.128:8800/rtp/239.49.9.32:6000
CCTV5,http://49.65.90.128:8800/rtp/239.49.8.137:6000
